alert_id,customer_id,alert_date,alert_type,severity,description
ALT-87d23cb1,102,2025-01-19,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-7a1f6b6f,1086,2025-01-16,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-babf2a2c,1093,2025-04-12,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-63c2aeaf,1119,2025-05-13,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-79318b11,115,2025-01-31,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-911cf05f,1197,2025-05-11,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-c8a1d551,1232,2025-01-06,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-0c49d3c6,1234,2025-03-27,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-813b0f57,1242,2025-02-06,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-b589a8e8,1325,2025-01-10,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-66ee7ab7,1337,2025-02-05,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-0cd4a24c,1357,2025-04-06,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-42b4c2e4,1393,2025-03-24,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-4dd03f9d,1400,2025-03-03,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-0b5fe8fc,1444,2025-01-19,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-b705bdb0,1598,2025-05-25,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-67248614,1607,2025-01-17,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-cd426519,1615,2025-01-21,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-461576a0,1678,2025-01-09,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-e79b2250,1730,2025-01-09,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-6781f586,1797,2025-02-17,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-4ba34ae3,1912,2025-02-03,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-cc79159a,1996,2025-01-17,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-bdc5a2ab,248,2025-01-10,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-026ce546,284,2025-01-10,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-a532a4b6,330,2025-02-09,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-f3129b26,406,2025-02-16,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-2bf302ee,594,2025-01-19,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-41354050,7,2025-04-16,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-208f0f8b,71,2025-04-06,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-ed6cfdbc,710,2025-02-25,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-b3300133,765,2025-01-31,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-088d1170,786,2025-03-11,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-688061e5,830,2025-01-29,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-c283fe8b,929,2025-01-04,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-43db4e57,967,2025-01-20,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-5caeac4c,975,2025-01-16,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-6d7d9889,993,2025-03-01,Potential Structuring,High,Detected 3 cash deposits just under reporting threshold in 7 days.
ALT-42c4e0b6,1032,2025-01-13,Layering / Rapid Movement,Critical,Large inflow $79756.21 followed by immediate outflow of $71979.98.
ALT-c28826a7,1032,2025-02-11,Layering / Rapid Movement,Critical,Large inflow $51192.61 followed by immediate outflow of $46201.33.
ALT-adf309b9,1032,2025-03-26,Layering / Rapid Movement,Critical,Large inflow $65109.03 followed by immediate outflow of $58760.9.
ALT-14a8ed14,1032,2025-04-07,Layering / Rapid Movement,Critical,Large inflow $50901.34 followed by immediate outflow of $45938.45.
