transaction_id,customer_id,timestamp,amount,txn_type,channel,sender_id,receiver_id,currency,country_dest,fx_rate,amount_gbp,is_high_risk_dest,is_fatf_black_dest
TXN000000,C0000,2024-01-30 17:58:00.000000000,809.98,DEBIT,MOBILE,S2750,R5757,USD,IN,0.79,639.8842000000001,0,0
TXN000001,C0000,2024-02-20 17:18:00.000000000,1578.45,WIRE,ATM,S8230,R2531,GBP,GB,1.0,1578.45,0,0
TXN000002,C0000,2024-02-07 06:35:00.000000000,1293.1,CREDIT,ATM,S2762,R1040,GBP,US,1.0,1293.1,0,0
TXN000003,C0000,2024-01-08 18:45:00.000000000,1070.65,CREDIT,SWIFT,S3479,R6154,GBP,GB,1.0,1070.65,0,0
TXN000004,C0000,2024-03-25 13:04:00.000000000,537.96,DEBIT,SWIFT,S3044,R8368,EUR,US,0.86,462.6456,0,0
TXN000005,C0000,2024-02-04 17:23:00.000000000,618.19,ATM,SWIFT,S1342,R2447,GBP,IN,1.0,618.19,0,0
TXN000006,C0000,2024-02-15 16:40:00.000000000,411.6,CREDIT,SWIFT,S8986,R4740,GBP,GB,1.0,411.6,0,0
TXN000007,C0000,2024-03-11 06:03:00.000000000,895.27,CREDIT,SWIFT,S9770,R1193,GBP,DE,1.0,895.27,0,0
TXN000008,C0000,2024-02-24 23:07:00.000000000,710.54,CREDIT,ONLINE,S7716,R5875,GBP,GB,1.0,710.54,0,0
TXN000009,C0000,2024-01-08 08:41:00.000000000,2420.94,ATM,SWIFT,S3800,R9333,GBP,NG,1.0,2420.94,1,0
TXN000010,C0000,2024-02-25 13:37:00.000000000,2826.75,CREDIT,SWIFT,S4828,R2968,GBP,GB,1.0,2826.75,0,0
TXN000011,C0000,2024-01-09 17:48:00.000000000,2788.05,DEBIT,SWIFT,S3866,R1182,USD,GB,0.79,2202.5595000000003,0,0
TXN000012,C0000,2024-03-04 15:18:00.000000000,5637.29,CREDIT,ATM,S9210,R7132,GBP,US,1.0,5637.29,0,0
TXN000013,C0000,2024-02-02 17:38:00.000000000,1586.33,ATM,SWIFT,S5615,R9365,GBP,GB,1.0,1586.33,0,0
TXN000014,C0000,2024-03-27 02:19:00.000000000,624.88,CREDIT,ATM,S1593,R2774,GBP,NG,1.0,624.88,1,0
TXN000015,C0001,2024-01-15 15:01:00.000000000,3023.66,DEBIT,ONLINE,S1201,R3497,USD,IN,0.79,2388.6914,0,0
TXN000016,C0001,2024-01-10 12:50:00.000000000,2465.34,CASH,ATM,S2628,R1386,GBP,GB,1.0,2465.34,0,0
TXN000017,C0001,2024-01-02 00:11:00.000000000,5644.34,CREDIT,ONLINE,S8980,R2998,GBP,NG,1.0,5644.34,1,0
TXN000018,C0001,2024-03-02 13:30:00.000000000,13409.36,CREDIT,SWIFT,S2130,R7563,GBP,US,1.0,13409.36,0,0
TXN000019,C0001,2024-02-22 18:29:00.000000000,1463.74,DEBIT,MOBILE,S2823,R2474,GBP,GB,1.0,1463.74,0,0
TXN000020,C0001,2024-03-19 15:22:00.000000000,5944.57,CREDIT,ONLINE,S2141,R2635,GBP,GB,1.0,5944.57,0,0
TXN000021,C0001,2024-02-08 12:27:00.000000000,131.26,DEBIT,ATM,S7564,R5928,GBP,GB,1.0,131.26,0,0
TXN000022,C0001,2024-01-19 01:59:00.000000000,12215.49,DEBIT,ONLINE,S2829,R9767,GBP,GB,1.0,12215.49,0,0
TXN000023,C0001,2024-02-17 08:11:00.000000000,856.28,DEBIT,ATM,S6744,R2900,EUR,GB,0.86,736.4008,0,0
TXN000024,C0001,2024-03-28 12:10:00.000000000,127.62,CREDIT,SWIFT,S1910,R5340,GBP,GB,1.0,127.62,0,0
TXN000025,C0001,2024-02-11 11:34:00.000000000,205.11,CASH,ATM,S1785,R7139,GBP,GB,1.0,205.11,0,0
TXN000026,C0001,2024-03-17 14:51:00.000000000,93843.77,CREDIT,SWIFT,S6498,R1946,GBP,FR,1.0,93843.77,0,0
TXN000027,C0001,2024-02-01 15:57:00.000000000,120.49,CREDIT,ATM,S9491,R1138,GBP,GB,1.0,120.49,0,0
TXN000028,C0001,2024-03-03 06:34:00.000000000,2941.28,CREDIT,SWIFT,S7416,R4170,USD,NG,0.79,2323.6112000000003,1,0
TXN000029,C0001,2024-01-24 14:36:00.000000000,1056.94,DEBIT,ATM,S9848,R3660,GBP,GB,1.0,1056.94,0,0
TXN000030,C0001,2024-03-04 13:33:00.000000000,2694.13,WIRE,SWIFT,S7538,R1475,GBP,GB,1.0,2694.13,0,0
TXN000031,C0001,2024-01-20 12:57:00.000000000,25685.32,CASH,ONLINE,S1882,R5761,EUR,GB,0.86,22089.3752,0,0
TXN000032,C0001,2024-03-10 13:57:00.000000000,238463.36,DEBIT,BRANCH,S3808,R7642,GBP,GB,1.0,146732.94099999926,0,0
TXN000033,C0001,2024-02-22 23:17:00.000000000,279.59,DEBIT,ATM,S1364,R5258,GBP,US,1.0,279.59,0,0
TXN000034,C0001,2024-03-12 18:16:00.000000000,226.56,CREDIT,BRANCH,S3490,R7980,GBP,US,1.0,226.56,0,0
TXN000035,C0001,2024-01-31 15:49:00.000000000,7666.64,DEBIT,SWIFT,S6845,R5778,USD,GB,0.79,6056.645600000001,0,0
TXN000036,C0002,2024-03-20 17:40:00.000000000,472.71,ATM,BRANCH,S8537,R3841,USD,US,0.79,373.4409,0,0
TXN000037,C0002,2024-01-30 00:00:00.000000000,648.11,CREDIT,SWIFT,S7144,R6668,GBP,GB,1.0,648.11,0,0
TXN000038,C0002,2024-01-05 17:08:00.000000000,4344.89,DEBIT,ONLINE,S5897,R6037,GBP,GB,1.0,4344.89,0,0
TXN000039,C0002,2024-01-30 01:10:00.000000000,3549.22,CREDIT,BRANCH,S1187,R6409,GBP,IN,1.0,3549.22,0,0
TXN000040,C0002,2024-01-16 15:16:00.000000000,16035.04,DEBIT,ATM,S7465,R2497,GBP,GB,1.0,16035.04,0,0
TXN000041,C0002,2024-02-03 10:07:00.000000000,1816.43,CREDIT,BRANCH,S4701,R3780,GBP,GB,1.0,1816.43,0,0
TXN000042,C0002,2024-03-05 13:29:00.000000000,1978.11,CREDIT,ONLINE,S1182,R8190,USD,US,0.79,1562.7069,0,0
TXN000043,C0002,2024-01-10 17:53:00.000000000,2740.97,CREDIT,MOBILE,S7555,R9244,USD,GB,0.79,2165.3663,0,0
TXN000044,C0002,2024-01-30 13:12:00.000000000,2538.81,DEBIT,MOBILE,S5945,R8927,GBP,US,1.0,2538.81,0,0
TXN000045,C0002,2024-03-16 11:56:00.000000000,3432.98,CREDIT,MOBILE,S2884,R2809,GBP,GB,1.0,3432.98,0,0
TXN000046,C0003,2024-01-08 00:04:00.000000000,2385.95,WIRE,ATM,S3224,R9389,GBP,IN,1.0,2385.95,0,0
TXN000047,C0003,2024-02-20 04:57:00.000000000,372.62,CREDIT,SWIFT,S8094,R7318,GBP,GB,1.0,372.62,0,0
TXN000048,C0003,2024-01-13 07:23:00.000000000,371.27,CREDIT,BRANCH,S6842,R2316,GBP,GB,1.0,371.27,0,0
TXN000049,C0003,2024-01-28 18:34:00.000000000,8846.05,DEBIT,MOBILE,S8935,R7093,USD,US,0.79,6988.3795,0,0
TXN000050,C0003,2024-01-13 11:12:00.000000000,20586.69,CREDIT,BRANCH,S4893,R3005,GBP,NG,1.0,20586.69,1,0
